H,G,Num_obs,rms,U,Arc_years,Perturbers,Perturbers_2,Number,Name,Principal_desig,Epoch,M,Peri,Node,i,e,n,a,Ref,Num_opps,Computer,Hex_flags,Last_obs,Tp,Orbital_period,Perihelion_dist,Aphelion_dist,Semilatus_rectum,Synodic_period,Orbit_type,Other_desigs,One_opposition_object_flag,Arc_length,NEO_flag,One_km_NEO_flag,PHA_flag
6.28,0.15,231.0,0.7,1,1989-2019,M-v,3Ek,(47932),,2000 GN171,2460800.5,22.76833,194.64756,26.154,10.82364,0.2777692,0.0040266,39.1300189,MPO692394,20,Pan,000A,2019-02-04,2455146.01979,244.7738881,28.2609049,49.9991329,18.0554569,1.0041022,Distant Object,,,,,,
4.85,0.15,334.0,0.8,1,1995-2024,M-v,3Ek,(48639),,1995 TL8,2460800.5,49.42179,85.80562,260.7701,0.24186,0.2397009,0.00255583,52.9803769,MPO887922,22,MPCLINUX,000A,2024-12-26,2441463.38833,385.6315565,40.2809329,65.6798209,24.9681544,1.0025999,Distant Object,,,,,,
10.38,0.15,102.0,0.7,2,1998-2024,M-v,3Ek,(49036),Pelion,1998 QM107,2460800.5,130.35999,154.34385,126.87907,9.34393,0.1320642,0.01096858,20.061761,MPO887927,12,MPCLINUX,000A,2024-12-31,2448915.55767,89.8573442,17.4123206,22.7112014,9.8559324,1.011254,Distant Object,,,,,,
7.61,0.15,43.0,0.16,5,1999-2022,M-v,3El,(49673),,1999 RA215,2460800.5,317.99274,269.63967,132.35875,22.54322,0.1072895,0.0034627,43.2705626,MPO711008,12,MPCLINUX,000A,2022-08-27,2472931.85992,284.6353349,38.6280856,47.9130396,21.3862368,1.0035257,Distant Object,,,,,,
2.41,0.15,697.0,0.73,1,1954-2025,M-v,3Ek,(50000),Quaoar,2002 LM60,2460800.5,290.96617,163.78626,189.00522,7.99125,0.0366422,0.00347567,43.1628743,E2025-L46,33,MPCLINUX,000A,2025-06-05,2480662.92088,283.57343,41.5812916,44.744457,21.5524608,1.0035389,Distant Object,,,,,,
7.78,0.15,22.0,0.22,5,1998-2004,M-v,3Ek,(52747),,1998 HM151,2460800.5,321.95739,252.17163,63.88839,0.54456,0.0569113,0.00335411,44.1995549,MPO692485,6,Pan,000A,2004-05-27,2472142.62158,293.8507773,41.6841008,46.715009,22.0281986,1.0034147,Distant Object,,,,,,
10.92,0.15,805.0,0.68,0,1998-2025,M-v,3Ek,(52872),Okyrhoe,1998 SG35,2460800.5,258.62408,337.31042,173.10006,15.66547,0.3067868,0.04073602,8.365341,E2025-MB4,26,MPCLINUX,000A,2025-06-23,2463289.10762,24.1949915,5.7989648,10.9317172,3.7890053,1.0431128,Distant Object,,,,,,
8.9,0.15,87.0,0.4,2,1998-2024,M-v,3Ek,(52975),Cyllarus,1998 TF35,2460800.5,95.05995,301.83549,51.82566,12.62762,0.3780764,0.00731687,26.2776147,MPO887982,14,MPCLINUX,000A,2024-12-31,2447808.48846,134.7035095,16.3426687,36.2125607,11.260723,1.0074792,Distant Object,,,,,,
6.71,0.15,120.0,0.97,3,1999-2020,M-v,3Ek,(53311),Deucalion,1999 HU11,2460800.5,306.97199,245.0149,51.30465,0.36663,0.0589449,0.00339382,43.8541199,MPO692495,15,Pan,000A,2020-06-24,2476425.46611,290.4126966,41.2691432,46.4390966,21.8508744,1.0034553,Distant Object,,,,,,
7.99,0.15,24.0,0.35,4,1999-2002,M-v,3Ek,(54520),,2000 PJ30,2460800.5,14.03797,303.56477,293.38598,5.71872,0.7654313,0.00073015,122.1407287,MPO692518,4,Pan,000A,2002-08-09,2441573.03801,1349.8663153,28.6503919,215.6310655,25.2901494,1.0007414,Distant Object,['1999 OO4'],,,,,
7.46,0.15,1375.0,0.77,0,1953-2025,M-v,3Ek,(54598),Bienor,2000 QC243,2460800.5,345.99382,152.2896,337.79103,20.72701,0.2049771,0.01458094,16.5937941,MPO914720,28,MPCORBFIT,000A,2025-04-25,2461761.08405,67.5956184,13.1924463,19.9951419,7.9482978,1.015016,Distant Object,,,,,,
3.44,0.15,569.0,0.55,2,1997-2025,M-v,3Ek,(55565),Aya,2002 AW197,2460800.5,301.98812,295.15614,297.38898,24.34845,0.1268259,0.00303754,47.2195337,MPO914730,24,MPCLINUX,000A,2025-04-04,2479899.06132,324.4759712,41.2308738,53.2081936,23.2300083,1.0030914,Distant Object,,,,,,
